"","P1","P2","YD","TP","GN","KGW"
"163","R176","R223",37.7745,14.2125,103.28,25.8945
"164","R050","R116",42.878,13.31,133.0435,24.051
"165","R003","R218",37.1665,15.313,100.8435,24.213
"166","R027","R235",39.5825,15.087,121.3705,22.307
"167","R211","R228",51.4955,13.186,151.842,26.105
"168","R014","R036",44.7305,14.0525,129.5855,24.822
"169","R147","R163",41.7785,15.7945,93.405,29.213
"170","R130","R198",36.845,11.8,129.7185,24.6055
"171","R131","R237",40.1,17.25,100.347,23.293
"172","R111","R113",33.3145,16.4445,86.3585,23.3105
"173","R019","R166",46.939,15.0495,119.2475,27.38
"174","R084","R222",49.469,17.9605,121.0985,23.1245
"175","R074","R202",36.1755,16.2155,96.85,23.723
"176","R106","R216",40.26409147,14.86998374,103.5771179,26.2254309
"177","R015","R135",40.09809147,13.50448374,126.8536179,25.0984309
"178","R092","R195",44.682,15.8075,114.0865,24.61
"179","R181","R186",45.6485,13.5835,127.2485,26.315
"180","R048","R141",42.896,18.026,103.275,22.9645
"181","R001","R112",40.487,17.942,89.91,25.3315
"182","R164","R194",38.655,14.834,107.1115,23.8445
"183","R126","R225",51.7225,15.131,132.115,26.1905
"184","R234","R239",41.2535,14.8845,114.7115,24.966
"185","R189","R208",37.3345,13.6405,95.5235,29.096
"186","R032","R137",28.658,14.3565,80.0655,25.6915
"187","R099","R184",44.1755,14.963,123.6005,23.946
"188","R120","R144",37.8765,19.771,90.7655,22.314
"189","R034","R139",43.464,14.9635,113.2445,27.0445
"190","R014","R076",43.57668205,15.45794208,115.4973552,25.06298343
"191","R189","R197",43.8485,14.368,116.885,25.9465
"192","R016","R042",54.2275,18.3755,114.663,26.868
"193","R195","R239",44.59359147,15.90998374,117.2396179,24.7174309
"194","R032","R193",40.431,17.3415,97.8925,24.1105
"195","R008","R044",48.8075,18.649,100.9445,26.8755
"196","R135","R142",47.0615,14.9505,132.5445,24.248
"197","R027","R118",38.307,15.963,109.5295,22.089
"198","R178","R214",55.366,18.2705,132.1355,22.7
"199","R025","R111",53.131,16.0565,152.619,21.92
"200","R066","R180",37.095,17.553,90.1225,24.0355
"201","R062","R130",46.6485,13.562,130.965,26.407
"202","R163","R182",43.103,16.2275,95.24,28.132
"203","R079","R133",44.428,16.4505,117.5085,23.4065
"204","R146","R208",52.3655,13.0655,139.543,29.2325
"205","R017","R202",33.925,15.4495,94.509,23.4265
"206","R070","R098",45.5495,15.1745,133.283,22.678
"207","R002","R072",49.062,21.5345,94.2065,24.742
"208","R060","R121",36.38809147,15.49248374,102.4046179,22.9539309
"209","R112","R227",38.184,16.026,106.5045,23.9805
"210","R023","R181",47.275,18.2655,115.342,22.8715
"211","R018","R210",50.712,15.628,112.5205,28.34
"212","R067","R128",35.7715,15.1435,111.2565,21.47
"213","R063","R094",57.1225,14.32,148.16,26.7245
"214","R078","R138",44.64609147,16.09998374,109.2991179,25.8994309
"215","R143","R171",40.811,16.002,113.289,23.4075
"216","R093","R172",56.0375,18.8285,123.506,24.68
"217","R069","R090",42.0315,14.2415,121.959,24.3465
"218","R125","R127",40.123,14.853,113.9135,24.43
"219","R100","R155",44.396,17.307,126.324,20.63
"220","R057","R097",37.6505,17.7025,91.466,23.23
"221","R065","R169",44.67809147,15.83298374,110.0411179,25.9494309
"222","R001","R196",49.1035,13.483,138.3505,26.584
"223","R046","R220",53.0165,15.621,146.6735,23.5615
"224","R164","R168",39.5655,13.4805,125.177,24.622
"225","R012","R033",46.615,16.318,105.382,27.5345
"226","R141","R188",34.955,15.824,98.4295,23.635
"227","R084","R200",40.293,14.43,133.3055,21.4605
"228","R089","R235",38.6595,17.2865,113.964,20.3465
"229","R176","R219",37.3495,17.446,88.022,24.8115
"230","R074","R119",42.84,15.069,101.247,28.3795
"231","R041","R223",42.95359147,15.02898374,117.5986179,24.9744309
"232","R049","R233",46.61509147,17.08198374,116.9756179,24.0539309
"233","R087","R175",33.0875,13.502,93.2105,28.14
"234","R054","R055",40.9935,17.584,104.5205,22.667
"235","R191","R211",51.072,15.018,154.63,22.8895
"236","R003","R200",42.076,14.459,118.671,24.922
"237","R150","R167",55.187,16.075,133.777,25.932
"238","R109","R145",46.4725,19.169,107.219,22.728
"239","R068","R232",39.9905,13.007,119.2665,25.982
"240","R073","R160",37.8925,13.861,102.6495,27.848
"241","R004","R039",44.6835,15.9255,115.146,24.5115
"242","R156","R238",43.57668205,15.45794208,115.4973552,25.06298343
"243","R122","R198",50.743,14.3865,136.3625,25.6155
"244","R048","R107",41.7525,15.3425,130.6925,22.134
"245","R019","R081",36.061,12.8995,113.91,25.3375
"246","R050","R173",43.7225,13,135.1735,24.807
"247","R157","R179",37.666,14.223,101.8035,27.035
"248","R071","R186",47.539,14.3885,132.538,25.715
"249","R080","R113",48.668,13.8975,145.3,23.9835
"250","R045","R206",52.1315,13.93,141.7755,26.686
"251","R036","R153",50.89809147,16.66148374,130.2971179,24.4509309
"252","R031","R075",36.821,17.6965,83.3465,25.888
"253","R043","R056",43.4175,16.411,101.4845,26.919
"254","R005","R199",45.37859147,15.31548374,113.7446179,26.2909309
"255","R022","R159",46.26759147,15.07648374,120.6466179,26.1384309
"256","R082","R129",35.93609147,16.22598374,89.2546179,24.8384309
"257","R203","R225",35.1215,14.9505,87.9035,26.092
"258","R029","R158",46.4985,15.796,117.2425,25.673
"259","R013","R187",41.8885,12.575,121.705,26.954
"260","R161","R236",50.83209147,15.06748374,137.1501179,25.7459309
"261","R101","R185",46.175,13.351,134.262,24.6745
"262","R148","R205",43.8345,15.316,103.6715,28.456
"263","R190","R229",50.0305,14.4475,136.962,26.5105
"264","R009","R161",45.6035,12.794,128.9645,28.478
"265","R007","R051",34.925,14.659,93.3895,27.013
"266","R116","R237",40.08209147,16.55498374,104.9896179,23.1534309
"267","R040","R209",46.82709147,15.92348374,126.0706179,24.0834309
"268","R166","R221",44.85409147,14.99698374,115.2411179,26.6344309
"269","R132","R234",32.5705,13.652,90.4875,26.1485
"270","R092","R108",44.77,13.5205,129.441,25.8875
"271","R131","R191",41.4085,13.876,135.0595,23.3835
"272","R015","R226",41.06309147,15.16598374,113.1616179,24.4209309
"273","R021","R053",50.4975,14.86,129.434,26.462
"274","R151","R218",36.341,15.195,111.65,21.85
"275","R115","R126",48.30559147,15.04998374,130.6676179,25.4314309
"276","R006","R174",46.122,18.4615,115.7155,21.6265
"277","R010","R083",37.5595,15.281,93.279,27.526
"278","R086","R123",46.16509147,15.75448374,117.0461179,25.1784309
